Open,High,Low,Close,Volume,Adjusted,Date
17.91833878,18.10713005,17.84685516,18.0137291,102033017,18.0137291,01/02/13
18.05557251,18.22991943,17.95071602,18.0241909,93075567,18.0241909,01/03/13
18.1654129,18.4675293,18.12406731,18.38035583,110954331,18.38035583,01/04/13
18.31759071,18.41547394,18.19629669,18.30015755,66476239,18.30015755,01/07/13
18.31983376,18.33876228,18.04311943,18.2640419,67295297,18.2640419,01/08/13
18.23838806,18.3898201,18.14698029,18.38409233,81291563,18.38409233,01/09/13
18.5014019,18.55545044,18.2690239,18.46777725,73703226,18.46777725,01/10/13
18.48073006,18.49143982,18.33876228,18.43066788,51600690,18.43066788,01/11/13
18.35619545,18.48571014,17.99131393,18.0137291,114985384,18.0137291,01/14/13
17.91609573,18.30638313,17.73602104,18.05557251,157696879,18.05557251,01/15/13
17.99255943,18.0408783,17.7751236,17.81298256,81239368,17.81298256,01/16/13
17.87574768,17.92381668,17.7091217,17.7165947,88791570,17.7165947,01/17/13
17.69268227,17.75270844,17.46777534,17.5469799,129555794,17.5469799,01/18/13
17.5507164,17.56765175,17.32306862,17.50613213,152264594,17.50613213,01/22/13
18.33104134,18.65507507,18.32605934,18.46827507,237249950,18.46827507,01/23/13
18.46180153,18.85009575,18.44361877,18.78483963,135815168,18.78483963,01/24/13
18.69916153,18.89119148,18.68620872,18.77139091,89369729,18.77139091,01/25/13
18.72381973,18.81945992,18.62742996,18.69816589,65327951,18.69816589,01/28/13
18.59903526,18.85308456,18.59380531,18.77163887,70145942,18.77163887,01/29/13
18.77313423,18.95271111,18.75246048,18.77537537,69579828,18.77537537,01/30/13
18.69268417,18.86977005,18.68620872,18.82170105,65613015,18.82170105,01/31/13
18.88421631,19.34250069,18.88172722,19.31759262,150405652,19.31759262,02/01/13
19.12058067,19.18982124,18.88596153,18.9046402,122075862,18.9046402,02/04/13
18.95719337,19.20576286,18.91584969,19.07201385,75108474,19.07201385,02/05/13
18.9058857,19.25183868,18.8916893,19.18235016,83435569,19.18235016,02/06/13
19.17064476,19.39754295,19.06603622,19.27649689,114033831,19.27649689,02/07/13
19.43041992,19.5933094,19.41622353,19.56093025,121256803,19.56093025,02/08/13
